ID,Nama,Ketinggian,Provinsi,Wilayah,Deskripsi,Aktif (Aktif/Tidak Aktif),Level (Pemula/Mahir),Kota/Kab
11,Gunung Lesung,1865,Bali,Bali dan  Nusa Tenggara,"Gunung Lesung merupakan salah gunung yang ada di Provinsi Bali, Indonesia. Dalam sistem koordinat geografis, letaknya ada di 8° 16' 47"" Lintang Selatan dan 115° 6' 21"" Bujur Timur. Ketinggian Gunung Lesung mencapai 1.885 meter di atas permukaan laut. Dalam sistem klasifikasi iklim koppen, Gunung Lesung termasuk dala iklim tropis dengan ekosistem sabana.",Tidak Aktif,Pemula,Buleleng
12,Gunung Adeng,1826,Bali,Bali dan  Nusa Tenggara,"Gunung Adeng terletak di Kabupaten Tabanan. Secara geografis, Gunung Adeng berbatasan langsung dengan Gunung Pohen disebelah utaranya, Gunung Sanghyang disebelah baratnya, dan di barat dayanya terdapat Gunung Batukaru.Vegetasi di Gunung Adeng didominasi pohon-pohon tinggi yang dedaunannya begitu rimbun sehingga membentuk seperti kanopi yang menutupi area dibawahnya dari sinar matahari. Jalur pendakian yang biasa dilalui adalah via Desa Angseri, dengan patokan utama yaitu Pura Luhur Pucak Adeng yang berada di kaki gunung.",Tidak Aktif,Mahir,Tabanan
13,Gunung Barujari,3726,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Gunung Barujari ini ada akibat aktivitas vulkanik Rinjani. Ibarat kata, kalau nggak ada Rinjani, Barujari pun nggak nampak. Kerucut Barujari muncul di sebelah timur kaldera Gunung Rinjani. Kaldera raksasa yang terisi air dengan kedalaman 230 meter itu sekarang dikenaldengan nama Segara Anak. Kalau dari permukaan danau itu tingginya sekitar 300 meter. Yang belum tahun Gunung Barujari juga posisinya tersembunyi. Makanya kalau dilihat dari desa-desa yang ada di kaki Gunung Rinjani, Barujari ini nggak kelihatan. Para pendaki baru bisa melihat Barujari kalau sudah 8 sampai 10 jam pendakian lewat jalur Sembalun Lawang atau Senaru.",Aktif,Mahir,"Lombok Timur, Lombok Tengah, Lombok Utara"
14,Gunung Kondo,2947,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Gunung Kondo adalah salah satu dari tujuh puncak yang masuk dalam Sembalun Seven Summits dan berada pada ketinggian 1750 mdpl. Gunung Kondo masuk didalam kawasan Taman Nasional Gunung Rinjani. Lokasinya berdekatan dengan Savana Peropok yang lokasinya di kabupaten Lombok Timur, Nusa Tenggara Barat. Dari puncak Gunung Konda kita dapat menikmati pemandangan alam Lombok yang sungguh mempesona. Mulai dari pemandangan Savana Peropok yang merupakan kaldera tua. Gunung Rinjani yang berdiri kokoh di sebelah barat serta pemandangan laut di sebelah selatan dan timur",Tidak Aktif,Pemula,Lombok Timur
15,Gunung Nangi,2330,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Gunung Nangi adalah salah satu gunung yang ada di Pulau Lombok, Nusa Tenggara Barat. Puncak Gunung Nangi setinggi 2.330 meter di atas permukaan laut. Hasil letusan Gunung Nangi membuat banyaknya batuan vulkanik kuarter yang mengendap di bagian tengah dan timur Pulau Lombok.",Tidak Aktif,Pemula,Lombok Timur
16,Gunung Rinjani,3726,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Gunung Rinjani adalah gunung yang berlokasi di Pulau Lombok, Nusa Tenggara Barat. Gunung yang merupakan gunung berapi kedua tertinggi di Indonesia dengan ketinggian 3.726 mdpl serta terletak pada lintang 8º25' LS dan 116º28' BT ini merupakan gunung favorit bagi pendaki Indonesia karena keindahan pemandangannya. Gunung ini merupakan bagian dari Taman Nasional Gunung Rinjani yang memiliki luas sekitar 41.330 ha dan ini akan diusulkan penambahannya sehingga menjadi 76.000 ha ke arah barat dan timur.",Aktif,Pemula,"Lombok Timur, Lombok Tengah, Lombok Utara"
17,Gunung Sangeang,1949,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Sangeang merupakan gunung berapi aktif di kompleks pulau Sangeang di Indonesia. Ini terdiri dari dua kerucut vulkanik, Doro Api 1.949 meter (6.394 kaki) dan Doro Mantoi 1.795 m (5.889 ft).[1] Sangeang Api merupakan salah satu gunung berapi paling aktif di Kepulauan Sunda Kecil. Meletus pada tahun 1988 dan penduduk pulau dievakuasi. Tercatat letusan pertama pada tahun 1512 dan 1989 itu meletus 17 kali. Meletus lagi selama bulan Desember 2012 dan Mei 2014",Aktif,Mahir,Bima
18,Gunung Tambora,2850,Nusa Tenggara Barat,Bali dan  Nusa Tenggara,"Gunung Tambora (atau Tomboro) adalah sebuah gunung berapi kerucut aktif yang terletak di Pulau Sumbawa, Nusa Tenggara Barat, Indonesia. Gunung ini terletak di dua kabupaten yaitu Kabupaten Dompu yang mencakup lereng bagian barat dan selatan dan Kabupaten Bima yang mencakup lereng bagian timur dan utara. Gunung Tambora terbentuk akibat zona subduksi aktif di bawahnya. Pada masa lampau, ketinggian Gunung Tambora mencapai sekitar 4.300 m yang membuat gunung ini menjadi salah satu puncak tertinggi di Indonesia di masa lalu.",Aktif,Pemula,"Bima, Dompu"
19,Gunung Ebulobo,2124,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Ebulobo, juga dikenal sebagai Emburombu atau Puncak Nage Keo, adalah gunung stratovolcano yang terletak bagian selatan dari Kabupaten Nagekeo di Pulau Flores Nusa Tenggara Timur, Indonesia. Gunung Ebulobo menjulang di atas Kecamatan Boa Wae, yang terletak di bawah lereng barat laut gunung tersebut. Bentuk gunung simetris dengan ketinggian 2124 m, dengan bagian atas kubah lava berbentuk datar. Sejarah letusannya, yang tercatat sejak 1830, antara lain berupa lelehan lava di lereng utara serta letusan-letusan eksplosif pada puncak kawahnya.",Aktif,Pemula,Nagakeo
20,Gunung Anak Ranakah,2350,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Anak Ranakah adalah salah satu gunung berapi yang ada di Kabupaten Manggarai, Provinsi Nusa Tenggara Timur. Permukiman penduduk yang paling dekat dari Gunung Anak Ranakah ada di Kecamatan Ruteng. Gunung Anak Ranakah termasuk jenis gunung berapi kerucut. Gunung Anak Ranakah dapat dicapai dari Kecamatan Ruteng menuju pos pengamatan menggunakan kendaraan roda empat melalui kampung Robo. Dari pos menuju ke puncak Gunung Anak Ranakah ditempuh dengan waktu tempuh 45 menit dengan berjalan kaki. Di bagian atas akan ada kawah. Masyarakat setempat umumnya melakukan pertambangan batu dan pasir dari Gunung Anak Ranakah untuk dijadikan sebagai bahan bangunan.",Aktif,Mahir,Manggarai
21,Gunung Egon,1703,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Egon adalah sebuah gunung berapi yang terletak di Kabupaten Sikka, Pulau Flores, provinsi Nusa Tenggara Timur, Indonesia. Gunung ini memiliki tinggi 1.703 meter dari permukaan laut. Egon kembali aktif pada 2006 setelah vakum selama 75 tahun. Egon tercatat meletus dahsyat pada 1925.",Aktif,Mahir,Sikka
22,Gunung Iliboleng,1659,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Iliboleng (Iliboleng) adalah sebuah gunung berapi yang berada di tenggara Pulau Adonara di wilayah Larantuka, Kabupaten Flores Timur, provinsi Nusa Tenggara Timur. Gunung ini tercatat terakhir kali meletus pada tahun 1885. Gunung ini memiliki beberapa kawah antara lain K1, K2, K3, K4, K5 (kawah utama) dan Kawah Riawale. Sejarah letusan pertama kali tercatat pada 1885 yang terdiri dari berbagai ledakan moderat. Ledakan yang diikuti lava tercatat pada letusan 1888.",Aktif,Mahir,Flores Timur
23,Gunung Iliwerung,1018,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Iliwerung adalah gunung berapi yang terletak di bagian selatan dari Pulau Lembata, Kabupaten Lembata, Provinsi Nusa Tenggara Timur, Indonesia. Gunung Iliwerung merupakan kubah terbuka Gunung Ile Adowajo sebelum gunung besar dengan ketinggian lebih dari 1.000 Mdpl ini meletus hebat dan sebagian runtuh di sisi tenggaranya pada waktu yang tidak diketahui. Sisa-sisa puncak gunung ini berada di utara Gunung Ilewerung yang dikenal dengan Gunung Mauraja sedangkan Gunung Ile Adowajo hanya menjadi 300 Mdpl. Pada tahun 1870 terjadi letusan di Gunung Ile Adowajo membentuk kubah Gunung Iliwerung yang sekarang. Sejak muncul 1870 gunung ini terus tumbuh hingga memiliki tinggi 586 Mdpl. Gunung Iliwerung tercatat pernah meletus pada tahun 1870, 1910, 1928, 1948, 1949, 1950, 1951 dan 1999. Dilihat dari sejarah letusannya, gunung Ili Werung mempunyai perioda letusan terpendek 1 tahun, perioda terpanjang adalah 40 tahun (antara tahun 1870-1910), rata-rata adalah 26 tahun.",Aktif,Mahir,Lembata
24,Gunung Inerie,2245,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Inerie (Bahasa Lokal Ineadalah Ibu Rie adalah cantik) adalah gunung stratovolcano yang terletak di bagian selatan dari Pusat Kota Bajawa Pulau Flores, tepatnya di Kecamatan Aimere, Kabupaten Ngada, Provinsi Nusa Tenggara Timur, Indonesia. Gunung Inierie adalah gunung berapi terbesar di Pulau Flores, puncak gunung ini merupakan titik tertinggi di Pulau Flores",Aktif,Mahir,Ngada
25,Gunung Keknemo,2070,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Keknomo merupakan salah satu gunung tertinggi di NTT, yaitu dengan ketinggan 2070 m. Ulasan gunung ini masih minim, namun bukan termasuk gunung berapi aktif di Indonesia. Beberapa penduduk NTT mengatakan bahwa gunung ini memiliki pesona alam yang indah.",Tidak Aktif,Mahir,Timor Tengah Selatan
26,Gunung Kelimutu,1639,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Kelimutu adalah gunung berapi yang terletak di Pulau Flores, Provinsi NTT, Indonesia. Lokasi gunung ini tepatnya di Desa Pemo, Kecamatan Kelimutu, Kabupaten Ende. Gunung ini memiliki tiga buah danau Diarsipkan 2017-03-04 di Wayback Machine. kawah di puncaknya. Danau ini dikenal dengan nama Danau Tiga Warna karena memiliki tiga warna yang berbeda, yaitu merah, biru, dan putih. Walaupun begitu, warna-warna tersebut selalu berubah-ubah seiring dengan perjalanan waktu. Kelimutu merupakan gabungan kata dari ""keli"" yang berarti gunung dan kata ""mutu"" yang berarti mendidih. Menurut kepercayaan penduduk setempat, warna-warna pada danau Kelimutu memiliki arti masing-masing dan memiliki kekuatan alam yang sangat dahsyat",Aktif,Pemula,Ende
27,Gunung Lewotobi Laki-laki,1584,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Lewotobi laki-laki merupakan bagian dari gunung lewotobi. Gunung Lewotobi adalah gunung berapi kembar di Nusa Tenggara Timur. Puncak gunung ini dan kembarannya, gunung lewotobi laki-laki dipisahkkan sejauh 2 km dan blok semen setinggi 1250 m. Dibandingkan kembarannya, gunung ini lebih sering mengalami erupsi.",Aktif,Pemula,Flores Timur
28,Gunung Lewotobi Perempuan,1703,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Lewotobi perempuan merupakan bagian dari gunung lewotobi. Gunung Lewotobi adalah gunung berapi kembar di Nusa Tenggara Timur. Puncak gunung ini dan kembarannya, gunung lewotobi laki-laki dipisahkkan sejauh 2 km dan blok semen setinggi 1250 m. Belum ada rute pasti untuk sampai ke puncak Gunung Lewotobi Perempuan maupun laki-laki sehingga membutuhkan pemandu. Jalurnya pun cukup sulit. Wisatawan umumnya mengicar golden sunrise dari gunung ini.",Aktif,Mahir,Flores Timur
29,Gunung Lewotolo,1423,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Lewotolo, juga disebut dalam bahasa setempat (bahasa Lamaholot[2]) sebagai Ili/Ile Lewotolok atau Ile Ape, adalah gunung berapi stratovolcano yang terletak di bagian utara Pulau Lembata, Kabupaten Lembata, Provinsi Nusa Tenggara Timur, Indonesia. Ungkapan ile lewo tolok berarti "" gunung kampung/negeri runtuh"" (Lewotolok adalah nama tempat gunung ini berada), sedangkan ile ape berarti ""gunung api"".Secara geografi, gunung berada pada suatu semenanjung di sisi barat laut pulau. Posisinya ini menyebabkan tingkat kebencanaan gunung ini tidak termasuk tinggi.",Aktif,Pemula,Lembata
30,Gunung Mutis,2458,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Mutis adalah salah satu gunung yang terdapat di Pulau Timor yang memiliki ketinggian 2.458 mdpl dan menjadi gunung tertinggi di wilayah Timor Barat (Indonesia).Secara administratif berada di perbatasan Kabupaten Timor Tengah Utara dengan Kabupaten Timor Tengah Selatan, Provinsi Nusa Tenggara Timur. Gunung ini memliki tiga puncak dan merupakan Cagar Alam Gunung Mutis yang terkenal dengan kekayaan marmernya. Masyarakat yang tinggal di kawasan gunung ini menyebut marmer itu dengan sebutan Faut Kanaf atau batu nama. Masyarakat yang menghuninya adalah salah satu suku tertua di NTT yaitu Suku Dawan.",Tidak Aktif,Mahir,"Timor Tengah Utara, Timor Tengah Selatan"
31,Gunung Batutara,748,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,Gunung Batutara adalah gunung dengan jenis stratovolcano yang terletak di Pulau Komba di Laut Flores. Berbagai jenis vegetasi menghiasi gunung Batutara. Letusan pertama yang diketahui terjadi pada tahun 1852 dengan menyemburkan lava. Letusan terakhir dari gunung Batutara terjadi pada tahun 2008.,Aktif,Mahir,Lembata
32,Gunung Fatu Timao,1774,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Fatu Timao adalah sebuah Gunung yang terletak di negara Indonesia yang memiliki ketinggian 1774 meter, atau setara dengan 5820 kaki. Dataran tinggi berbentuk Gunung yang bernama Gunung Fatu Timao ini berada di wilayah Asia. Apabila anda memiliki uang serta keberanian yang cukup anda bisa mengunjungi Gunung Fatu Timao di Indonesia, Asia untuk melakukan pendakian maupun sekedar menikmati pemandangan alamnya (selama diijinkan oleh pemerintah setempat).",Tidak Aktif,Mahir,Kupang
33,Gunung Ine Lika,1559,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Ine Like (Inielika) adalah gunung yang berada di Kabupaten Ngada, Pulau Flores, Nusa Tenggara Timur (NTT). Para penduduk di enam desa di sekitar gunung Ine Like mengungsi ketika gunung tersebut meletus pada 2001. Mereka mendiami lereng gunung, yaitu: Desa Ine Like, Wololika, Tarawaja, Piga, Tarawali, Naru.",Aktif,Pemula,Ngada
34,Gunung Lakaan,1562,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Lakaan adalah gunung yang berada di Timor Barat dan merupakan gunung tertinggi ketiga di wilayah ini – di belakang Gunung Mutis dan Gunung Timau, dengan ketinggian sekitar 1.562 mdpl. Secara administratif berada di Kecamatan Lamaknen Selatan, Kabupaten Belu, Provinsi Nusa Tenggara Timur, Indonesia. Di puncak gunung ini terdapat patung Bunda Maria dan patung Hati Kudus Jesus. Sedangkan di kaki sebelah timur Gunung Lakaan terdapat padang sabana yang datar dan luas, bernama Fulan Fehan. Konon Gunung Lakaan menjadi asal manusia pertama di Belu.",Tidak Aktif,Mahir,Belu
35,Gunung Sirung,862,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Sirung adalah gunung berapi aktif yang terletak di Pulau Pantar yang terletak di Kepulauan Alor yang berada di timur Provinsi Nusa Tenggara Timur. Lereng Gunung Sirung dapat dicapai dengan mudah dari desa di Kampung Kakamauta, Desa Mauta, Kecamatan Pantar Tengah, Kabupaten Alor. Dalam kawah Gunung Sirung terdapat sulfur di Danau kawah dan mengeluarkan sulfur dari lubang-lubang gunung.",Aktif,Pemula,Alor
36,Gunung Wanggameti,1225,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Wanggameti adalah sebuah gunung yang berada di Kabupaten Sumba Timur, Provinsi Nusa Tenggara Timur, Indonesia. Gunung ini merupakan titik tertinggi di Pulau Sumba yang mencapai ketinggian 1.225 Mdpl. Secara administratif gunung ini berada di perbatasan Desa Katiku Wai, Kecamatan Matawai Lapau dengan Desa Nggoni, Kecamatan Karera. Di sebelah timur laut Gunung ini terdapat sebuah dataran tinggi Wanggameti dengan beberapa puncaknya seperti Puncak Nggiku, Kuang, Halawala, dan lainnya. Gunung ini termasuk dalam Taman Nasional Laiwangi Wanggameti. Sungai yang berhulu di Gunung Wanggameti antara lain Sungai Kambaniru, Sungai Ananjaki, dan Sungai Parrunggading. Suhu udara di puncak Gunung Wanggameti berkisar 26 °C - 31 °C. Di puncak Gunung Wanggameti tumbuh bunga Edelweis",Tidak Aktif,Mahir,Sumba Timur
37,Gunung Labalekan,1621,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Ile Labalekang adalah sebuah gunung yang berada di Kabupaten Lembata, Provinsi Nusa Tenggara Timur, Indonesia. Gunung ini terletak di bagian selatan Pulau Lembata yang mencapai ketinggian sekira 1.621 Mdpl sehingga merupakan titik tertinggi di Pulau Lembata. Secara administratif Gunung Ile Labalekang berada di Kecamatan Wulandoni.",Aktif,Mahir,Lembata
38,Gunung Koyakoya,1821,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Koyakoya atau yang biasa disebut Dola Koyakoya oleh masyarakat Pulau Alor merupakan gunung tertinggi di pulau tersebut. Gunung ini pun dikatakan pula sebagai ujung timur dari rangkaian pegunungan yang menyambung dari Pulau Jawa hingga pulau-pulau di utara Nusa Tenggara Timur. Gunung ini berlokasi di Kecamatan Alor Timur, Kabupaten Alor, NTT.",Tidak Aktif,Mahir,Alor
39,Gunung Rokatenda,875,Nusa Tenggara Timur,Bali dan  Nusa Tenggara,"Gunung Rokatenda, atau juga disebut Gunung Paluweh, adalah sebuah gunung berapi yang terletak di Pulau Palu'e, sebelah utara Pulau Flores, Nusa Tenggara Timur, Indonesia. Gunung yang bertipe strato ini merupakan lokasi tertinggi di Pulau Palu'e dengan ketinggian 875 meter. Gunung ini secara geografis terletak di koordinat 121° 42' bujur timur and 8° 19' lintang selatan.",Aktif,Mahir,Sikka
40,Gunung Aseupan,1174,Banten,Jawa,"Gunung Aseupan adalah gunung yang terletak di Kecamatan Pulosari, Kabupaten Pandeglang, Provinsi Banten, sekitar 18 km sebelah barat dari pusat kota Pandeglang. Secara astronomis, Gunung Aseupan berada pada 6°14'06"" s/d 6°19'17"" Lintang Selatan dan 105°50'03"" s/d 105°57'50"" Bujur Timur. Kawasan Gunung Aseupan memiliki luas ±8.095 hektar. Puncak Gunung Aseupan berada pada ketinggian 1.174 mdpl.",Tidak Aktif,Pemula,Pandeglang
41,Gunung Ciawitali,1297,Banten,Jawa,"Gunung Ciawitali merupakan gunung yang terletak di Lebak, Provinsi Banten. Gunung ini memiliki ketinggian 1.297 meter di atas permukaan laut (mdpl).",Tidak Aktif,Pemula,Lebak
42,Gunung Endut,1207,Banten,Jawa,"Gunung Endut adalah sebuah gunung di Kabupaten Lebak, Provinsi Banten, Indonesia. Gunung Endut merupakan salah satu gunung tertinggi di Provinsi Banten dengan memiliki ketinggian mencapai 1.207 Mdpl. Gunung Endut secara administratif termasuk ke Kecamatan Cipanas, Kecamatan Lebakgedong, Kecamatan Muncang dan Kecamatan Sobang dan termasuk ke dalam kawasan Taman Nasional Gunung Halimun Salak (TNGHS). Sungai yang berhulu di Gunung Endut adalah Sungai Cisimeut. Di sekitar kaki Gunung Endut ditemukan beberapa mata air panas. Pada tahun 2016 sempat ada wacana untuk memanfaatkan potensi panas bumi sebesar 40MW di Gunung Endut. Kampung yang terdekat ke puncaknya adalah Kampung Cilebu. Terdapat sebuah makam keramat di puncak Gunung Endut.",Tidak Aktif,Pemula,Lebak
43,Gunung Karang,1778,Banten,Jawa,"Gunung Karang adalah sebuah gunung berapi kerucut yang terletak di Kabupaten Pandeglang, Banten, Indonesia. Gunung ini masuk kedalam kelompok Stratovolcano yang memiliki potensi meletus. Gunung Karang memiliki ketinggian 1.778 meter di atas permukaan laut dengan puncaknya yang bernama Sumur Tujuh.",Aktif,Pemula,Pandeglang
44,Gunung Pulosari,1346,Banten,Jawa,"Gunung Pulosari adalah gunung berapi di Kabupaten Pandeglang, Banten, Indonesia. Walaupun tidak ada data letusan yang pernah terjadi, tetapi terdapat aktivitas fumarol yang terjadi di dinding kaldera dengan kedalaman 300 meter.",Aktif,Pemula,Pandeglang
45,Gunung Halimun,1929,"Banten, Jawa Barat",Jawa,"Gunung Halimun merupakan gunung yang terletak di Kabupaten Bogor dan Kabupaten Sukabumi (Jawa Barat) serta Kabupaten Lebak (Banten). Gunung dengan ketinggian sekitar 1.929 mdpl ini merupakan gunung tertinggi di Provinsi Banten dan termasuk dalam wilayah Taman Nasional Gunung Halimun-Salak (TNGHS). Di sebelah timur gunung ini terdapat Gunung Salak. Nama Halimun berasal dari bahasa Sunda yang berarti ""kabut"".",Aktif,Pemula,Bogor
